,lam_2
0.39525,0.6795423876174222
0.396,0.6872590778031596
0.39675,0.6517077034987202
0.3975,0.6344950694331499
0.39825,0.6426170375185589
0.399,0.6374739335562197
0.39975,0.6332555521760532
0.4005,0.6638105129258355
0.40125,0.6645025523753677
0.402,0.6428446994843642
0.40275,0.6263858994206943
0.4035,0.6464891265852711
0.40425,0.6327171480064679
0.405,0.6357682232724267
0.40575,0.6339465061342345
0.40650000000000003,0.6316318091009303
0.40725,0.6820343967333289
0.40800000000000003,0.6924387580931328
0.40875,0.6595218703830072
0.40950000000000003,0.6660440377237109
0.41025,0.6599834251943946
0.41100000000000003,0.6742307850849392
0.41175,0.6635641148163325
0.41250000000000003,0.6532445495644331
0.41325,0.7035716188661703
0.41400000000000003,0.6619962315508173
0.41475,0.6829128196163821
0.41550000000000004,0.6700083116691139
0.41625,0.6835743831823332
0.417,0.683291035667574
0.41775,0.7227748107414889
0.4185,0.7652828724421402
0.41925,0.7567024463291881
0.42,0.7556379918112895
0.42075,0.7304165046562249
0.4215,0.7386702946136439
0.42225,0.744602617119786
0.423,0.7456201265290837
0.42375,0.7155740839846814
0.4245,0.6910887272935812
0.42525,0.6838323273504502
0.426,0.710294575224872
0.42675,0.667981078908618
0.4275,0.7193271300530096
0.42825,0.7321462802626885
0.429,0.7217775332298735
0.42975,0.6845202534735431
0.4305,0.6870612504431213
0.43125,0.6916461092308319
0.432,0.6665382489448579
0.43275,0.7067618750357801
0.4335,0.6735104543906696
0.43425,0.6751580940184397
0.435,0.6727171978073798
0.43575,0.6858107449168445
0.4365,0.6553523732736379
0.43725,0.6920023684376273
0.438,0.6907924983611099
0.43875000000000003,0.6165575493213763
0.4395,0.6776222865130405
0.44025000000000003,0.7213771539361913
0.441,0.7239432938577176
0.44175000000000003,0.698043610944582
0.4425,0.7072365272689772
0.44325000000000003,0.6862395598727866
0.444,0.6450069202372608
0.44475000000000003,0.6629493745273068
0.4455,0.6392729864635068
0.44625000000000004,0.6757661547963596
0.447,0.6398272135408277
0.44775000000000004,0.6649567985856409
0.4485,0.6640547739258044
0.44925,0.6724259977987024
0.45,0.6549276771400152
0.45075,0.6719973485267244
0.4515,0.6901981310835847
0.45225,0.7220053198284113
0.453,0.6945161860977146
0.45375,0.7145508449856042
0.4545,0.7019195773588608
0.45525,0.6985889925992621
0.456,0.6923262089976333
0.45675,0.6917848789383096
0.4575,0.6777547532085997
0.45825,0.660362521526985
0.459,0.6829156152859058
0.45975,0.6861509801606072
0.4605,0.684234962439412
0.46125,0.6662498428463849
0.462,0.6919501650630853
0.46275,0.6928893700226694
0.4635,0.6808384711782289
0.46425,0.6456884259899853
0.465,0.6458798291648234
